id;stock_annee;stock_mois;entree_mois;sortie_mois;stock_finmois;stock_debut
1;value-added France;bus Thailand;91696;31356;94412;17018
2;Garden Technician calculating;Vincent;81911;20174;99986;39952
3;Lithuanian Customer;wireless ROI;53884;91156;48138;33356
4;Concrete Table;Optimization;9699;17885;82550;61209
5;Health Shoes Small;Leone Greens;71966;73383;97298;60407
6;Georgia mobile;utilize;93704;53811;17908;73765
7;Developer;Handmade Buckinghamshire sexy;59971;95193;74599;990
8;indexing;architectures emulation;95869;18673;73938;8677
9;access;redundant Expanded payment;29949;8595;24838;54328
10;District;invoice;1772;77963;25114;46918
