id;point_os_id;atpe_annee;atpe_mois;atpe_stock;atpe_dispo;atpe_endom;atpe_perime;atpe_rupture;atpe_njour;atpe_magasin;atpe_palette;atpe_position;atpe_hauteur;atpe_personnel;atpe_admission;atpe_sortie;atpe_gueris;atpe_abandon;atpe_poids;atpe_trasnsfert;atpe_parent
1;30257;33805;73954;Dinar array;78574;8664;28;real-time Avon workforce;96897;neural;ivory Baby;interface;74228;Small Buckinghamshire;84727;94782;1795;30624;4627;71623;62093
2;47592;28676;82670;Keyboard turn-key unleash;87766;69806;54515;Faso;68334;Markets;invoice;generate Principal;29331;Som;90961;56007;35303;10362;66091;47050;96470
3;46942;42765;95986;Islands;51857;7260;96264;invoice leading-edge Paradigm;95200;invoice Intuitive;Hat array;core Stravenue;44233;CSS Metical client-driven;65831;6423;52684;33782;72783;76420;70320
4;85385;99150;53745;heuristic matrix;81813;99751;82154;cross-platform enterprise protocol;46047;Wooden;Forward hardware;leverage neural;74016;SSL cross-platform;41454;32847;91705;71904;2228;52096;23524
5;1188;50954;99972;Concrete;54355;36887;86166;Shilling Card system;72408;program Market;Market;turquoise;43954;interface;33766;62428;66129;70300;10937;93560;33204
6;97974;85027;76142;stable;83112;95498;96147;transmit Borders;44425;compress;index;static virtual time-frame;76363;pixel Grocery Movies;19305;74063;5174;37565;78130;97437;27937
7;94208;70511;98206;utilize Minnesota;48350;55404;91603;Missouri disintermediate;93697;withdrawal;Michigan incubate North;Madagascar;67456;Human azure Salad;45038;17828;32999;68118;81747;16243;61819
8;87317;9378;70336;Agent;91413;7758;19306;Passage;2263;Assurance override Cambridgeshire;Jersey even-keeled Plastic;Fish;43749;Knoll hacking models;48699;18552;42555;20872;10887;67836;89238
9;20905;70038;71443;Club Checking Beauty;60598;68927;20628;Knolls architectures gold;97912;Practical;Secured;Direct;15967;Kansas;11704;40286;78693;63060;67789;8200;75653
10;8434;48866;44293;Factors Unbranded black;44653;87786;33358;Account;20853;Optimization;Orchestrator Realigned Auto;Checking Account deposit;7205;Officer Loan;80733;2592;42432;18873;80857;32776;57739
