id;stock_disponible;quant_dem;quant_trs;quant_rec;req_traitee;date_req;date_rec;date_transfert
1;52494;32528;34043;59377;14326;2023-02-02T00:39:19;2023-02-02T03:55:50;2023-02-02T13:55:58
2;98473;61272;9484;71512;37843;2023-02-01T18:41:09;2023-02-02T12:13:25;2023-02-02T11:16:32
3;77614;45534;51791;90736;339;2023-02-02T06:07:40;2023-02-02T09:35:26;2023-02-01T18:29:30
4;24042;64083;76617;42280;66354;2023-02-01T22:26:28;2023-02-01T22:20:56;2023-02-01T16:44:53
5;83430;71737;22496;28308;13805;2023-02-02T04:21:40;2023-02-02T11:16:26;2023-02-02T03:35:28
6;12475;10230;77496;86758;33892;2023-02-02T08:09:50;2023-02-02T08:24:45;2023-02-01T16:40:14
7;66348;19890;92356;1056;98271;2023-02-02T14:53:23;2023-02-02T07:44:28;2023-02-01T20:46:12
8;35932;21194;9168;28789;73465;2023-02-02T04:26:15;2023-02-02T06:26:21;2023-02-02T00:09:02
9;9064;6017;19652;47026;72710;2023-02-01T23:50:34;2023-02-02T06:15:33;2023-02-02T14:26:04
10;87826;68724;64605;57352;72277;2023-02-01T19:34:37;2023-02-02T04:12:28;2023-02-02T13:00:12
