id;pos_id;stock_annee;stock_mois;catalogue_id;entree_mois;sortie_mois;stock_finmois;stock_debut
1;67908;Quality-focused experiences Computers;transmitter intangible;Savings;457;27297;80029;96010
2;18908;Accountability Gardens;encryption;customized;27931;63496;50191;52069
3;7665;Azerbaijanian;digital;drive silver;10135;76143;40820;89046
4;55560;Home synthesizing;parsing Borders;payment Credit;11295;64999;55039;59294
5;25070;digital Pizza;methodologies Music;indexing plum Indiana;82401;2329;34911;94046
6;80981;Soft users;black;overriding Towels Gorgeous;51089;68779;67947;57111
7;89765;CSS;withdrawal XSS program;Dynamic Sausages program;81815;42343;41562;62235
8;21527;multimedia engage;Montana;Account payment;86171;77695;17333;75385
9;35037;Soft Directives reboot;Security;bus Integration;77245;93107;40603;36057
10;26190;world-class dot-com;Leone Plastic;Fish Car distributed;70444;49678;62411;11969
