id;material_code;material_desc;material_group
1;line index Avon;Soap;Berkshire Cheese
2;Loan Product yellow;Lakes;Kids Taka
3;Loan plum envisioneer;Practical;Silver feed Account
4;TCP Station Universal;alarm Flat;ADP
5;transmitter Engineer;Cloned;24/365 teal
6;Generic Intranet;monitoring Officer Savings;throughput
7;Bacon;Berkshire;Morocco primary Chicken
8;attitude-oriented Inlet 24;connect transmitter Vista;synergistic scale
9;Regional programming lavender;cross-media Exclusive;white
10;Re-contextualized;International sexy;Associate Arab
