id;ro_date;mat_desc;unit;del_qty;value;batch;bb_date;weight;volume;rec_qty
1;2023-02-01T22:02:18;copying overriding;Awesome Licensed magnetic;6989;33261;Kip web-readiness Data;2023-02-02T02:31:15;13921;39189;54987
2;2023-02-01T22:14:10;Tennessee;Health defect;45139;59205;upward-trending Ball;2023-02-01T23:57:17;75684;41759;92441
3;2023-02-02T02:17:19;Forward Practical;Valley local Administrator;34171;80716;bluetooth;2023-02-02T07:11:43;70749;96237;32366
4;2023-02-02T09:31:09;Monitored Cambridgeshire Turkish;JSON;15398;44271;redundant;2023-02-02T06:16:43;59273;67109;29647
5;2023-02-02T06:31:56;online;transmit value-added best-of-breed;76746;90384;Macao driver;2023-02-02T06:03:32;74685;74272;30366
6;2023-02-01T18:17:13;Loan extend Dinar;quantifying Chips;57808;94294;Handcrafted killer brand;2023-02-02T03:16:34;46228;17590;39966
7;2023-02-02T08:40:14;real-time;Baby salmon;93343;95418;Fresh Planner copy;2023-02-02T10:40:15;67306;12414;50056
8;2023-02-02T15:12:06;Avon;Cambridgeshire;94839;83480;hack Generic;2023-02-01T16:48:11;27936;72059;27931
9;2023-02-01T19:27:26;Wooden USB;Cheese;21992;92594;JSON quantify;2023-02-01T23:04:08;52331;32139;57670
10;2023-02-01T19:57:18;Metal eyeballs copy;Liaison Buckinghamshire;79538;8369;International Bike Washington;2023-02-02T06:40:18;24258;28088;48475
