id;stock_disponible;quant_dem;quant_trs;quant_rec;req_traitee;date_req;date_rec;date_transfert
1;52494;32528;34043;59377;14326;2023-02-02T00:52:19;2023-02-02T04:08:50;2023-02-02T14:08:58
2;98473;61272;9484;71512;37843;2023-02-01T18:54:09;2023-02-02T12:26:25;2023-02-02T11:29:32
3;77614;45534;51791;90736;339;2023-02-02T06:20:40;2023-02-02T09:48:26;2023-02-01T18:42:30
4;24042;64083;76617;42280;66354;2023-02-01T22:39:28;2023-02-01T22:33:56;2023-02-01T16:57:53
5;83430;71737;22496;28308;13805;2023-02-02T04:34:40;2023-02-02T11:29:26;2023-02-02T03:48:28
6;12475;10230;77496;86758;33892;2023-02-02T08:22:50;2023-02-02T08:37:45;2023-02-01T16:53:14
7;66348;19890;92356;1056;98271;2023-02-02T15:06:23;2023-02-02T07:57:28;2023-02-01T20:59:12
8;35932;21194;9168;28789;73465;2023-02-02T04:39:15;2023-02-02T06:39:21;2023-02-02T00:22:02
9;9064;6017;19652;47026;72710;2023-02-02T00:03:34;2023-02-02T06:28:33;2023-02-02T14:39:04
10;87826;68724;64605;57352;72277;2023-02-01T19:47:37;2023-02-02T04:25:28;2023-02-02T13:13:12
