id;stock_annee;stock_mois;entree_mois;sortie_mois;stock_finmois;stock_debut
1;Future navigating deposit;payment;47082;26489;53298;8642
2;Savings;responsive;18908;52556;93361;87058
3;Gardens;encryption;12905;34248;90428;57702
4;payment;multi-tasking;35522;24869;78024;18998
5;Maine;silver Handmade;89046;55560;41287;59561
6;solution Intranet;connect Group Angola;64516;16687;11295;64999
7;Market digital;Profound;90729;49687;41065;96602
8;Music;indexing plum Indiana;82401;2329;34911;94046
9;Faso Michigan Officer;national;21581;23715;16992;57059
10;Gorgeous Buckinghamshire Vermont;Hat withdrawal XSS;74392;88709;62276;97256
