id;mission_id;catalogue_id;quantite_transfert;quantite_recu;quantite_utilisee;quantite_disponible;quantite_ecart
1;86885;Money radical monitor;91940;50606;77552;68954;86904
2;32058;programming Health ubiquitous;72299;48321;94980;53274;68478
3;90989;Diverse Ways microchip;8435;15432;18891;3833;79295
4;79096;Missouri incentivize mobile;61789;95299;92060;78469;27373
5;15519;Guilder withdrawal Bike;81786;95942;9644;87954;17705
6;17911;turquoise;9412;11530;28439;61548;45200
7;97044;driver;2371;83938;79895;99584;33718
8;227;maroon Intelligent violet;56103;26374;69170;510;68273
9;18187;productize Shilling Computers;1550;51964;35538;54882;44751
10;33748;middleware redundant;22438;3455;70264;52518;13468
