id;probleme_constate;action_recommandee;date_echeance
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Sol Park Cheese
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Associate Metal
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;reboot transmit
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;deposit synthesize
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Future Mauritius
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Mauritania deposit
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Computer Plaza Tuna
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Avon yellow Rustic
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;hack parsing
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;FTP incentivize
